Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PG 1553+113,00031368184,57769.58,238.92935,11.1901,15 55 43.044,11 11 24.36,13.44 ± 0.03,14.35 ± 0.03,13.99 ± 0.03,13.36 ± 0.03,13.44 ± 0.02,13.35 ± 0.03,(0.65 ± 0.02) × 10⁻¹⁰,(0.63 ± 0.02) × 10⁻¹⁰,(0.6 ± 0.02) × 10⁻¹⁰,(0.64 ± 0.02) × 10⁻¹⁰,(0.64 ± 0.01) × 10⁻¹⁰,(0.74 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368185,57772.31,238.92935,11.1901,15 55 43.044,11 11 24.36,13.53 ± 0.03,14.41 ± 0.03,14.06 ± 0.04,13.43 ± 0.03,13.56 ± 0.03,13.47 ± 0.03,(0.6 ± 0.02) × 10⁻¹⁰,(0.6 ± 0.02) × 10⁻¹⁰,(0.56 ± 0.02) × 10⁻¹⁰,(0.6 ± 0.02) × 10⁻¹⁰,(0.57 ± 0.01) × 10⁻¹⁰,(0.66 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368186,57775.42,238.92935,11.1901,15 55 43.044,11 11 24.36,13.45 ± 0.03,14.36 ± 0.03,14.01 ± 0.03,13.35 ± 0.03,13.45 ± 0.02,13.39 ± 0.03,(0.65 ± 0.02) × 10⁻¹⁰,(0.62 ± 0.02) × 10⁻¹⁰,(0.59 ± 0.02) × 10⁻¹⁰,(0.65 ± 0.02) × 10⁻¹⁰,(0.63 ± 0.01) × 10⁻¹⁰,(0.72 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368187,57778.74,238.92935,11.1901,15 55 43.044,11 11 24.36,13.45 ± 0.03,14.36 ± 0.03,14.06 ± 0.03,13.38 ± 0.03,13.48 ± 0.02,13.37 ± 0.03,(0.64 ± 0.02) × 10⁻¹⁰,(0.62 ± 0.02) × 10⁻¹⁰,(0.56 ± 0.02) × 10⁻¹⁰,(0.63 ± 0.02) × 10⁻¹⁰,(0.62 ± 0.01) × 10⁻¹⁰,(0.73 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368188,57781.07,238.92935,11.1901,15 55 43.044,11 11 24.36,13.48 ± 0.03,14.42 ± 0.03,14.01 ± 0.03,13.4 ± 0.03,13.52 ± 0.02,13.45 ± 0.03,(0.63 ± 0.02) × 10⁻¹⁰,(0.59 ± 0.01) × 10⁻¹⁰,(0.59 ± 0.02) × 10⁻¹⁰,(0.62 ± 0.02) × 10⁻¹⁰,(0.6 ± 0.01) × 10⁻¹⁰,(0.67 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368189,57784.92,238.92935,11.1901,15 55 43.044,11 11 24.36,13.61 ± 0.03,14.5 ± 0.03,14.13 ± 0.04,13.5 ± 0.03,13.68 ± 0.03,13.53 ± 0.03,(0.55 ± 0.02) × 10⁻¹⁰,(0.55 ± 0.01) × 10⁻¹⁰,(0.53 ± 0.02) × 10⁻¹⁰,(0.57 ± 0.01) × 10⁻¹⁰,(0.51 ± 0.01) × 10⁻¹⁰,(0.62 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368190,57787.12,238.92935,11.1901,15 55 43.044,11 11 24.36,13.73 ± 0.03,14.57 ± 0.03,14.21 ± 0.04,13.67 ± 0.03,13.85 ± 0.03,13.73 ± 0.03,(0.5 ± 0.01) × 10⁻¹⁰,(0.51 ± 0.01) × 10⁻¹⁰,(0.49 ± 0.02) × 10⁻¹⁰,(0.48 ± 0.01) × 10⁻¹⁰,(0.44 ± 0.01) × 10⁻¹⁰,(0.52 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368192,57793.64,238.92935,11.1901,15 55 43.044,11 11 24.36,13.72 ± 0.03,14.62 ± 0.03,14.24 ± 0.04,13.68 ± 0.03,13.79 ± 0.03,13.68 ± 0.03,(0.5 ± 0.01) × 10⁻¹⁰,(0.49 ± 0.01) × 10⁻¹⁰,(0.48 ± 0.02) × 10⁻¹⁰,(0.48 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.01) × 10⁻¹⁰,(0.54 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368193,57796.83,238.92935,11.1901,15 55 43.044,11 11 24.36,13.73 ± 0.03,14.62 ± 0.03,14.27 ± 0.04,13.65 ± 0.03,13.81 ± 0.03,14.04 ± 0.04,(0.5 ± 0.02) × 10⁻¹⁰,(0.49 ± 0.02) × 10⁻¹⁰,(0.46 ± 0.02) × 10⁻¹⁰,(0.49 ± 0.01) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368194,57799.68,238.92935,11.1901,15 55 43.044,11 11 24.36,13.76 ± 0.03,14.63 ± 0.03,14.31 ± 0.04,13.67 ± 0.03,13.8 ± 0.03,13.67 ± 0.03,(0.49 ± 0.01) × 10⁻¹⁰,(0.49 ± 0.01) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.48 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.01) × 10⁻¹⁰,(0.55 ± 0.01) × 10⁻¹⁰
